experiment_name,rounds,global_accuracy,global_loss,comm_cost,num_clients
fedavg_mnist_alpha10.0_clients10,0,0.1215,2.302471170806885,0,3
fedavg_mnist_alpha10.0_clients10,1,0.9624,0.14241838725656272,0,3
fedavg_mnist_alpha10.0_clients10,2,0.9832,0.050764277586108075,0,3
fedavg_mnist_alpha10.0_clients10,3,0.9866,0.040004627540733785,0,3
fedavg_mnist_alpha10.0_clients10,4,0.9886,0.03661003159965912,0,3
fedavg_mnist_alpha10.0_clients10,5,0.9898,0.033468989063195474,0,3
fedavg_mnist_alpha10.0_clients10,6,0.991,0.029553260118881007,0,3
fedavg_mnist_alpha10.0_clients10,7,0.9915,0.029102702621225218,0,3
fedavg_mnist_alpha10.0_clients10,8,0.9918,0.02631756450928224,0,3
fedavg_mnist_alpha10.0_clients10,9,0.9914,0.02694372250386732,0,3
fedavg_mnist_alpha10.0_clients10,10,0.9917,0.0283419017197627,0,3
fedavg_mnist_alpha10.0_clients10,11,0.9915,0.025768584468688027,0,3
fedavg_mnist_alpha10.0_clients10,12,0.9916,0.027575451309036,0,3
fedavg_mnist_alpha10.0_clients10,13,0.9929,0.02509113008926797,0,3
fedavg_mnist_alpha10.0_clients10,14,0.9928,0.025599654559705642,0,3
fedavg_mnist_alpha10.0_clients10,15,0.9929,0.025347745469809616,0,3
fedavg_mnist_alpha10.0_clients10,16,0.9926,0.024317763999132547,0,3
fedavg_mnist_alpha10.0_clients10,17,0.992,0.02516890141213591,0,3
fedavg_mnist_alpha10.0_clients10,18,0.993,0.023943276691493817,0,3
fedavg_mnist_alpha10.0_clients10,19,0.9923,0.0238056688728033,0,3
fedavg_mnist_alpha10.0_clients10,20,0.9932,0.022393308712584555,0,3
