experiment_name,rounds,global_accuracy,global_loss,comm_cost,num_clients
fedprox_mnist_alpha10.0_clients10,0,0.095,2.3119904006958008,0,3
fedprox_mnist_alpha10.0_clients10,1,0.9669,0.15256496790647506,0,3
fedprox_mnist_alpha10.0_clients10,2,0.9812,0.060313012359663846,0,3
fedprox_mnist_alpha10.0_clients10,3,0.9849,0.044991315188538286,0,3
fedprox_mnist_alpha10.0_clients10,4,0.9876,0.03884516955834115,0,3
fedprox_mnist_alpha10.0_clients10,5,0.9885,0.03526202798925078,0,3
fedprox_mnist_alpha10.0_clients10,6,0.9892,0.034544740935150184,0,3
fedprox_mnist_alpha10.0_clients10,7,0.9886,0.033077312327084656,0,3
fedprox_mnist_alpha10.0_clients10,8,0.9898,0.030423992004981845,0,3
fedprox_mnist_alpha10.0_clients10,9,0.9906,0.027333822167492326,0,3
fedprox_mnist_alpha10.0_clients10,10,0.9897,0.03038189176023043,0,3
fedprox_mnist_alpha10.0_clients10,11,0.9912,0.027119050418671395,0,3
fedprox_mnist_alpha10.0_clients10,12,0.9911,0.027077441698112853,0,3
fedprox_mnist_alpha10.0_clients10,13,0.9916,0.026004384465612203,0,3
fedprox_mnist_alpha10.0_clients10,14,0.9916,0.02642121905623144,0,3
fedprox_mnist_alpha10.0_clients10,15,0.991,0.028302006608571947,0,3
fedprox_mnist_alpha10.0_clients10,16,0.9911,0.027103208844224617,0,3
fedprox_mnist_alpha10.0_clients10,17,0.992,0.02592600425316963,0,3
fedprox_mnist_alpha10.0_clients10,18,0.9912,0.02748468248062313,0,3
fedprox_mnist_alpha10.0_clients10,19,0.993,0.023218238258471365,0,3
fedprox_mnist_alpha10.0_clients10,20,0.993,0.022884396887305,0,3
